46 | Aesculus sativa  | Castaño  | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  | Personal de Bosque Nativo |  |  |  |  |  |  | 
47 | Aesculus x carnea | Castaño de indias rojo | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  | Personal de Viveros |  |  |  |  |  |  | 
48 | Aextoxicon punctatum | Olivillo / Tique | Nativo Conservación | Arbóreo |  |  |  |  |  |  |  |  |  | Personal Programa de Arborización |  |  |  |  |  |  | 
49 | Agapanthus sp. | Agapanto | Exótico | Herbáceo |  |  |  |  |  |  |  |  |  | Personal Programa Empleo de Emergencia (PEE) |  |  |  |  |  |  | 
50 | Agathea coelestis | Margarita azul / Felicia / Agatea | Exótico | Herbáceo |  |  |  |  |  |  |  |  |  | Personal Externo (subcontratación) |  |  |  |  |  |  | 
51 | Agave americana | Pita / Agave amarillo | Exótico | Suculenta |  |  |  |  |  |  |  |  |  | Personal Plantaciones |  |  |  |  |  |  | 
52 | Agavoideae sp. | Ágave | Exótico | Suculenta |  |  |  |  |  |  |  |  |  | Otros (especificar en observaciones) |  |  |  |  |  |  | 
53 | Ailanthus altissima | Árbol de cielo / Ailanto | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  | Compra de semillas |  |  |  |  |  |  | 
54 | Albizia falcataria | Falcata | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
55 | Albizia julibrissin | Acacia de constantinopla / Albizia / Árbol de la seda | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
56 | Albizia lebbeck | Ébano / Albizia | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
57 | Albizia lophanta | Albizia amarilla | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
58 | Albizia sp. | Albizia  | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
